Ville;date;Description_Temps;Niveau_Qualite_Air;Implications_Sante;Temperature (°C);Température_Ressentie (°C);Humidité (%);Précipitations_1h (mm/h);Couverture_Nuageuse (%);Information_Qualite_Air;Indice_IQA_PM_25;Indice_IQA_PM_10;Indice_IQA_No2;Indice_IQA_So2;Indice_IQA_Ozone;Pression_Atmosphérique (hPa);Niveau_Mer (hPa);Pression_Sol (hPa);Vent;Vitesse_Vent (m/sec);Direction_Vent (DEG);Rafales_Vent (m/sec);Heure_Lever_Soleil;Heure_Coucher_Soleil
Lille;2025-03-28;couvert;Modéré;Qualité de l'air acceptable, mais certains polluants peuvent poser un risque modéré pour une petite partie de la population.;5;10,85;74,5;0;100;61;61;8;20,6;1,1;15,6;1012;1012;1009;0,4;4,12;240;0;05:32:29;18:12:50
Nice;2025-03-28;ciel dégagé;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;18,5;17,34;48,5;0;0;40;14;7;4,8;1,1;39,8;1006;1006;988;1,2;3,6;150;0;05:19:39;17:52:13
Strasbourg;2025-03-28;ciel dégagé;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;14,5;13,44;50,0;0;0;20;63;23;8;;20,2;1012;1012;995;2,5;2,57;60;0;05:15:02;17:52:49
Paris;2025-03-28;nuageux;Modéré;Qualité de l'air acceptable, mais certains polluants peuvent poser un risque modéré pour une petite partie de la population.;10,4;11,77;66,65;0;75;64;64;20;14,8;0,6;25,3;1014;1014;1004;3,6;3,6;310;0;05:36:30;18:14:41
Rennes;2025-03-28;couvert;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;11;10,1;92,0;0;100;35;35;12;4,1;;21,9;1016;1016;1008;4,6;3,6;240;0;05:53:01;18:30:18
Nantes;2025-03-28;couvert;Modéré;Qualité de l'air acceptable, mais certains polluants peuvent poser un risque modéré pour une petite partie de la population.;10;11,19;87,0;0;100;52;52;23;6;;18,9;1017;1017;1013;2,5;3,09;240;0;05:52:58;18:29:16
Marseille;2025-03-28;couvert;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;15,5;15,79;53,5;0;87;27;27;18;6,6;0,5;27,4;1009;1009;1002;6;5,81;313;10,28;05:27:14;17:59:26
Toulouse;2025-03-28;nuageux;Modéré;Qualité de l'air acceptable, mais certains polluants peuvent poser un risque modéré pour une petite partie de la population.;14;13,36;62,5;0;75;62;62;24;2,7;;32,3;1017;1017;995;8,2;8,75;280;14,92;05:42:56;18:15:27
Lyon;2025-03-28;partiellement nuageux;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;14;14,05;55,25;0;40;29;48;;8,2;;28,7;1013;1013;981;4,3;5,14;350;0;05:28:12;18:02:51
Bordeaux;2025-03-28;nuageux;Bon;Qualité de l'air satisfaisante, aucun risque pour la santé.;;14,18;60,0;0;75;50;50;28;6,9;;14,7;1018;1018;1013;;7,2;320;0;05:50:19;18:24:04
